,field,key,dateExport,historyId,dateCreated,fieldtype,fieldId,from,fromString,to,toString
0,status,ECOM-2871,2023-12-26,1113360,2023-10-09T12:35:53.711+0300,jira,status,10000,To Do,10112,Blocked/On hold
0,status,ECOM-2871,2023-12-26,1142867,2023-11-07T12:23:29.193+0200,jira,status,10112,Blocked/On hold,10000,To Do
0,status,ECOM-2871,2023-12-26,1166174,2023-11-27T04:27:34.340+0200,jira,status,10000,To Do,3,In Progress
0,status,ECOM-2871,2023-12-26,1166180,2023-11-27T04:34:22.583+0200,jira,status,3,In Progress,10112,Blocked/On hold
0,status,ECOM-2871,2023-12-26,1176205,2023-11-29T10:29:43.698+0200,jira,status,10112,Blocked/On hold,10000,To Do
0,status,ECOM-2871,2023-12-26,1184989,2023-12-08T05:05:02.109+0200,jira,status,10000,To Do,3,In Progress
0,status,ECOM-2555,2023-12-26,1090288,2023-09-12T10:39:00.225+0300,jira,status,10000,To Do,10112,Blocked/On hold
0,status,ECOM-2555,2023-12-26,1104616,2023-09-27T16:31:36.189+0300,jira,status,10112,Blocked/On hold,10000,To Do
0,status,ECOM-3000,2023-12-26,1059092,2023-08-07T14:17:40.610+0300,jira,status,10000,To Do,3,In Progress
0,status,ECOM-3000,2023-12-26,1059106,2023-08-07T14:22:33.673+0300,jira,status,3,In Progress,10045,READY FOR CODE REVIEW
0,status,ECOM-3000,2023-12-26,1059384,2023-08-07T16:01:05.139+0300,jira,status,10045,READY FOR CODE REVIEW,10046,READY FOR QA
0,status,ECOM-3000,2023-12-26,1060545,2023-08-08T12:05:33.407+0300,jira,status,10046,READY FOR QA,10047,QA IN PROGRESS
0,resolution,ECOM-3000,2023-12-26,1060616,2023-08-08T13:05:37.920+0300,jira,resolution,,,10000,Done
1,status,ECOM-3000,2023-12-26,1060616,2023-08-08T13:05:37.920+0300,jira,status,10047,QA IN PROGRESS,10050,READY FOR DEPLOYMENT
0,status,ECOM-3000,2023-12-26,1065995,2023-08-14T15:37:34.481+0300,jira,status,10050,READY FOR DEPLOYMENT,10001,Done
