,field,key,dateExport,historyId,dateCreated,page,fieldtype,fieldId,from,fromString,to,toString
0,status,ECOM-1890,2023-12-26,1169449,2023-11-28T05:14:08.714+0200,100,jira,status,10000,To Do,3,In Progress
0,resolution,ECOM-1890,2023-12-26,1169882,2023-11-28T10:12:53.536+0200,100,jira,resolution,,,10000,Done
1,status,ECOM-1890,2023-12-26,1169882,2023-11-28T10:12:53.536+0200,100,jira,status,3,In Progress,10001,Done
0,resolution,ECOM-1890,2023-12-26,1169884,2023-11-28T10:13:04.761+0200,100,jira,resolution,10000,Done,,
1,status,ECOM-1890,2023-12-26,1169884,2023-11-28T10:13:04.761+0200,100,jira,status,10001,Done,3,In Progress
0,resolution,ECOM-1890,2023-12-26,1169885,2023-11-28T10:13:08.289+0200,100,jira,resolution,,,10000,Done
1,status,ECOM-1890,2023-12-26,1169885,2023-11-28T10:13:08.289+0200,100,jira,status,3,In Progress,10001,Done
0,resolution,ECOM-1890,2023-12-26,1170654,2023-11-28T13:58:53.301+0200,100,jira,resolution,10000,Done,,
1,status,ECOM-1890,2023-12-26,1170654,2023-11-28T13:58:53.301+0200,100,jira,status,10001,Done,3,In Progress
0,status,ECOM-1890,2023-12-26,1176375,2023-11-29T11:28:28.180+0200,100,jira,status,3,In Progress,10112,Blocked/On hold
0,status,ECOM-1890,2023-12-26,1179302,2023-12-03T16:09:10.380+0200,100,jira,status,10112,Blocked/On hold,10027,Rejected
0,status,ECOM-1890,2023-12-26,1179305,2023-12-03T16:17:52.690+0200,100,jira,status,10027,Rejected,3,In Progress
0,status,ECOM-1890,2023-12-26,1179570,2023-12-04T06:38:32.514+0200,100,jira,status,3,In Progress,10045,READY FOR CODE REVIEW
0,status,ECOM-1890,2023-12-26,1180405,2023-12-04T16:03:31.378+0200,100,jira,status,10045,READY FOR CODE REVIEW,10046,READY FOR QA
0,status,ECOM-1890,2023-12-26,1180970,2023-12-05T10:05:14.834+0200,100,jira,status,10046,READY FOR QA,10047,QA IN PROGRESS
0,resolution,ECOM-1890,2023-12-26,1182072,2023-12-06T06:25:43.783+0200,100,jira,resolution,,,10000,Done
1,status,ECOM-1890,2023-12-26,1182072,2023-12-06T06:25:43.783+0200,100,jira,status,10047,QA IN PROGRESS,10050,READY FOR DEPLOYMENT
0,status,ECOM-1890,2023-12-26,1195101,2023-12-17T08:39:58.083+0200,100,jira,status,10050,READY FOR DEPLOYMENT,10001,Done
0,status,ECOM-2555,2023-12-26,1090288,2023-09-12T10:39:00.225+0300,0,jira,status,10000,To Do,10112,Blocked/On hold
0,status,ECOM-2555,2023-12-26,1104616,2023-09-27T16:31:36.189+0300,0,jira,status,10112,Blocked/On hold,10000,To Do
0,status,ECOM-1789,2023-12-26,1005601,2023-06-20T15:00:54.563+0300,0,jira,status,10000,To Do,10048,PRODUCT TEAM REVIEW/APPROVAL
0,resolution,ECOM-1789,2023-12-26,1005602,2023-06-20T15:01:13.661+0300,0,jira,resolution,,,10000,Done
1,status,ECOM-1789,2023-12-26,1005602,2023-06-20T15:01:13.661+0300,0,jira,status,10048,PRODUCT TEAM REVIEW/APPROVAL,10001,Done
